nom,latitude,longitude,note,prix,furniture_store,laundry,bakery,cafe,home_goods_store,clothing_store,atm,lodging,night_club,convenience_store,restaurant,bar
Pommart René,48.89460080000001,2.2878749,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bargueños,48.8409668,2.3382552,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Baudoux,48.85817420000001,2.3239417,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Atelier Decoration Richelieu,48.83834259999999,2.478703799999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Natuzzi,48.881789,2.4714188,1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Sdf Meubles De Boutique,48.91358959999999,2.3747032,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Lbs Paris,48.8662406,2.3530974,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Deger Spma,48.9070542,2.3846498,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Archea Neuilly-sur-Seine,48.8794693,2.2752636,5.0,-1,1,0,0,0,1,0,0,1,0,0,0,0
Cousins Sosegh Associés,48.8609827,2.3064629,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Soc Nouvelle Rebuzzi,48.90798759999999,2.4763371,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Horvath Jean-Claude,48.8582957,2.3788713,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
GITEM Cuisine - GraniteOnline - UDLM,48.906932,2.245111,4.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mercier Tiresias,48.86897889999999,2.4465687,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
CUISINES DIRECT PARIS/HOME DESIGN 17,48.88458300000001,2.305726,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Drouault Paris,48.8448259,2.27817,4.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mobeco,48.8756938,2.3970738,2.5,-1,1,0,0,0,1,0,0,1,0,0,0,0
Bureau Vallée,48.8373189,2.3527488,4.7,-1,1,0,0,0,1,0,0,0,0,0,0,0
Froment Jacques,48.8364965,2.4723051,1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Capitao Manuel,48.8818344,2.4455011,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Interior's Paris 16e,48.8475567,2.2740246,1.4,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cosme Literie,48.8533767,2.3751638,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Nicolas Thibout,48.8497304,2.3734147,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Librairie Amélie Sourget,48.851668,2.338782,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
